game_id,round,TP,year,player,teamname,list,team,country,faction,valid
1,1,0,2016,Trevor Christensen,Team USA White,Rasheth 1,1,USA,skorne,TRUE
2,1,1,2016,Michael Ireland,Team USA White,Ossyan 1,1,USA,retribution,TRUE
3,1,1,2016,Brent Simon,Team USA White,Absylonia 2,1,USA,legion,TRUE
4,1,0,2016,Chris Green,Team USA White,Wurmwood 1,1,USA,circle,TRUE
5,1,1,2016,Trevor Attridge,Team USA White,Haley 2,1,USA,cygnar,TRUE
6,1,1,2016,Chris Davies,Team Australia Echidna ,Strakhov 1,1,Australia,khador,TRUE
7,1,1,2016,Dyland Simmer,Team Australia Echidna ,Rahn 1,1,Australia,retribution,TRUE
8,1,1,2016,Jack Ding,Team Australia Echidna ,High Reclaimer 1,1,Australia,protectorate,TRUE
9,1,1,2016,Tom Guan,Team Australia Echidna ,Wurmwood 1,1,Australia,circle,TRUE
10,1,1,2016,Colin Hill,Team Australia Echidna ,Rask 1,1,Australia,minions,TRUE
11,1,0,2016,Denis Korzun,Team Sweden Dynamite,Borka 1,1,Sweden,trollbloods,TRUE
12,1,1,2016,Joakim Rapp,Team Sweden Dynamite,Karchev 1,1,Sweden,khador,TRUE
13,1,1,2016,Stefan Benediktsson,Team Sweden Dynamite,Witch coven 1,1,Sweden,cryx,TRUE
14,1,1,2016,Rickard Nilsson,Team Sweden Dynamite,Rask 1,1,Sweden,minions,TRUE
15,1,1,2016,Gustav Berggren,Team Sweden Dynamite,Arkadius 1,1,Sweden,minions,TRUE
16,1,0,2016,Iiro Järvenpää,Team Finland Ilmarinen,Rasheth 1,1,Finland,skorne,TRUE
17,1,0,2016,Teemu Aro,Team Finland Ilmarinen,Harkevich 1,1,Finland,khador,TRUE
18,1,0,2016,Hermanni Raatevaara,Team Finland Ilmarinen,Irusk 2,1,Finland,khador,TRUE
19,1,0,2016,Teppo Aro,Team Finland Ilmarinen,Darius 1,1,Finland,cygnar,TRUE
20,1,1,2016,Samu Jarvinen,Team Finland Ilmarinen,Baldur 2,1,Finland,circle,TRUE
21,1,0,2016,Alexander Grob,Team Austria Apfelstrudel,Caine 2,1,Austria,cygnar,TRUE
22,1,0,2016,Laszlo Vuray,Team Austria Apfelstrudel,Sturm & Drang 1,1,Austria,minions,TRUE
23,1,1,2016,Daniel Pawelka,Team Austria Apfelstrudel,Calandra 1,1,Austria,trollbloods,TRUE
24,1,1,2016,Daniel Maierl,Team Austria Apfelstrudel,Vyros 2,1,Austria,retribution,TRUE
25,1,1,2016,Martin Florian,Team Austria Apfelstrudel,Butcher 3,1,Austria,khador,TRUE
26,1,1,2016,Liam Gallagher,Team Australia Wallaby,Carver 1,1,Australia,minions,TRUE
27,1,0,2016,Rohan Mowle,Team Australia Wallaby,High Reclaimer 1,1,Australia,protectorate,TRUE
28,1,0,2016,Henry Wagner,Team Australia Wallaby,Lylyth 3,1,Australia,legion,TRUE
29,1,1,2016,Dimitri Sarbanis,Team Australia Wallaby,Severius 2,1,Australia,protectorate,TRUE
30,1,0,2016,Russell Harman,Team Australia Wallaby,Deneghra 1,1,Australia,cryx,TRUE
31,1,1,2016,Eduard Berdjugin,Team Latvia,Lylyth 3,1,Latvia,legion,TRUE
32,1,1,2016,Sergei Lakissov,Team Latvia,Cyphon 1,1,Latvia,mercenaries,TRUE
33,1,0,2016,Dmitri Pechonkin,Team Latvia,Wurmwood 1,1,Latvia,circle,TRUE
34,1,1,2016,Aleksandr Blumental,Team Latvia,Vladimir 1,1,Latvia,khador,TRUE
35,1,0,2016,Andrei Isaev,Team Latvia,Sloan 1,1,Latvia,cygnar,TRUE
36,1,1,2016,Sietse Sommeling,Team Netherlands Van Gogh,Issyria 1,1,Netherlands,retribution,TRUE
37,1,1,2016,Paul de Geus,Team Netherlands Van Gogh,Lylyth 1,1,Netherlands,legion,TRUE
38,1,0,2016,Frederik Punt,Team Netherlands Van Gogh,Rask 1,1,Netherlands,minions,TRUE
39,1,1,2016,Casper Jellema,Team Netherlands Van Gogh,Wurmwood 1,1,Netherlands,circle,TRUE
40,1,0,2016,Georg Buscha,Team Netherlands Van Gogh,Helynna 1,1,Netherlands,retribution,TRUE
41,1,1,2016,Julien Dupoirieux,Team France Asterix,Baldur 2,1,France,circle,TRUE
42,1,0,2016,Pierre Arnauld de Seze,Team France Asterix,Butcher 3,1,France,khador,TRUE
43,1,1,2016,Victor Pons Tec,Team France Asterix,Madrak 2,1,France,trollbloods,TRUE
44,1,1,2016,Antoine Granet Tza,Team France Asterix,Wurmwood 1,1,France,circle,TRUE
45,1,1,2016,Matthieu Vega Mouskapet,Team France Asterix,Skarre 1,1,France,cryx,TRUE
46,1,1,2016,Niels Pecherz,Team Germany Red,Vyros 2,1,Germany,retribution,TRUE
47,1,1,2016,Martin Huf,Team Germany Red,Vayl 2,1,Germany,legion,TRUE
48,1,0,2016,Alfredo Virgillito,Team Germany Red,Doomshaper 2,1,Germany,trollbloods,TRUE
49,1,1,2016,Hinnerk Fischer,Team Germany Red,Severius 2,1,Germany,protectorate,TRUE
50,1,1,2016,Florian Platte,Team Germany Red,High Reclaimer 1,1,Germany,protectorate,TRUE
51,1,0,2016,Marc Trautmann,Team Switzerland Chocolate,Kaelyssa 1,1,Switzerland,retribution,TRUE
52,1,0,2016,Robi Deola,Team Switzerland Chocolate,Haley 1,1,Switzerland,protectorate,FALSE
53,1,0,2016,Giaccomo Mader,Team Switzerland Chocolate,Thyra 1,1,Switzerland,cygnar,FALSE
54,1,0,2016,Marco Bernasconi,Team Switzerland Chocolate,Mortenebra 1,1,Switzerland,cryx,TRUE
55,1,0,2016,Michael Ilegems,Team Switzerland Chocolate,Severius 2,1,Switzerland,protectorate,TRUE
56,1,1,2016,Jarkko Vahamaa,Team Finland Joukahainen,Kromac 2,1,Finland,circle,TRUE
57,1,0,2016,Tuomas Toimela,Team Finland Joukahainen,Rasheth 1,1,Finland,skorne,TRUE
58,1,1,2016,Joonas Heinonen,Team Finland Joukahainen,Axis 1,1,Finland,convergence,TRUE
59,1,0,2016,Jani Kautto,Team Finland Joukahainen,Thyra 1,1,Finland,protectorate,TRUE
60,1,0,2016,Antti Jussila,Team Finland Joukahainen,Magnus 2,1,Finland,mercenaries,TRUE
61,1,1,2016,Niklas Bergmark,Team Sweden Bofors,Madrak 2,1,Sweden,trollbloods,TRUE
62,1,1,2016,Torbjorn Hansson,Team Sweden Bofors,Vayl 2,1,Sweden,legion,TRUE
63,1,1,2016,Fredrik Rabén,Team Sweden Bofors,Haley 3,1,Sweden,cygnar,TRUE
64,1,1,2016,Gustav Linderup,Team Sweden Bofors,Kreoss 3,1,Sweden,protectorate,TRUE
65,1,1,2016,Ola Segerberg,Team Sweden Bofors,Issyria 1,1,Sweden,retribution,TRUE
66,1,0,2016,Florian Hartmann,Team Austria Schnitzel,Vyros 2,1,Austria,retribution,TRUE
67,1,0,2016,Erich Hochauer,Team Austria Schnitzel,Iron Mother 1,1,Austria,convergence,TRUE
68,1,1,2016,Martin Hornacek,Team Austria Schnitzel,Hexeris 2,1,Austria,skorne,TRUE
69,1,0,2016,Stefan Riegler,Team Austria Schnitzel,Butcher 3,1,Austria,khador,TRUE
70,1,1,2016,Wolfgang Weber,Team Austria Schnitzel,Witch coven 1,1,Austria,cryx,TRUE
71,1,1,2016,Andy McBirnie,Team England Knights,Witch coven 1,1,England,cryx,TRUE
72,1,0,2016,Andrew Kenny,Team England Knights,Madrak 2,1,England,trollbloods,TRUE
73,1,0,2016,Chris Murdoch,Team England Knights,Gorten 1,1,England,mercenaries,TRUE
74,1,1,2016,Andy Garrard,Team England Knights,Grissel 2,1,England,trollbloods,TRUE
75,1,0,2016,Jamie Cooke-Rogers,Team England Knights,Lylyth 3,1,England,legion,TRUE
76,1,1,2016,Olov Winroth,Team Sweden Nobel,Haley 2,1,Sweden,cygnar,TRUE
77,1,1,2016,Filip Zingmark,Team Sweden Nobel,Wurmwood 1,1,Sweden,circle,TRUE
78,1,1,2016,Johan Dyrlind,Team Sweden Nobel,Karchev 1,1,Sweden,khador,TRUE
79,1,1,2016,Christoffer Wedding,Team Sweden Nobel,Issyria 1,1,Sweden,retribution,TRUE
80,1,1,2016,Andreas Holm,Team Sweden Nobel,Ossyan 1,1,Sweden,retribution,TRUE
81,1,1,2016,Karol Sosnowski,Team Poland Storks,Baldur 2,1,Poland,circle,TRUE
82,1,1,2016,Adam Szymanski,Team Poland Storks,Stryker 2,1,Poland,cygnar,TRUE
83,1,0,2016,Piotr Gotowiec,Team Poland Storks,Irusk 2,1,Poland,khador,TRUE
84,1,1,2016,Mateusz Dziewanowski,Team Poland Storks,Helynna 1,1,Poland,retribution,TRUE
85,1,1,2016,Andrzej Reszelski,Team Poland Storks,Severius 2,1,Poland,protectorate,TRUE
86,1,1,2016,Lei,Team China Baizen,Absylonia 2,1,China,legion,TRUE
87,1,0,2016,Yang Song,Team China Baizen,Ossyan 1,1,China,retribution,TRUE
88,1,0,2016,Youwei Wu,Team China Baizen,Lucant 1,1,China,convergence,TRUE
89,1,0,2016,Wei Jin,Team China Baizen,Karchev 1,1,China,khador,TRUE
90,1,0,2016,Gua,Team China Baizen,Madrak 2,1,China,trollbloods,TRUE
91,1,1,2016,Rafal Anusiak,Team Poland Marmots,Ossrum 1,1,Poland,mercenaries,TRUE
92,1,0,2016,Adam Szugajew,Team Poland Marmots,Vladimir 1,1,Poland,khador,TRUE
93,1,1,2016,Mateusz Szulc,Team Poland Marmots,Gorten 1,1,Poland,mercenaries,TRUE
94,1,1,2016,Jaromir Skirmuntt,Team Poland Marmots,Ossyan 1,1,Poland,retribution,TRUE
95,1,1,2016,Wiktor Harezlak,Team Poland Marmots,Skarre 1,1,Poland,cryx,TRUE
96,1,1,2016,Anjo Brand,Team Netherlands Rembrandt,Issyria 1,1,Netherlands,retribution,TRUE
97,1,1,2016,Tom Starren,Team Netherlands Rembrandt,Karchev 1,1,Netherlands,khador,TRUE
98,1,0,2016,Dave den Ouden,Team Netherlands Rembrandt,Calandra 1,1,Netherlands,trollbloods,TRUE
99,1,1,2016,William Bekkema,Team Netherlands Rembrandt,Lucant 1,1,Netherlands,convergence,TRUE
